5490,1308,27
5491,1331,40
5492,1340,43
5493,1331,46
5494,1210,27
5495,1294,34
5496,1366,42
5497,1377,30
5498,1311,32
5499,1267,28
5500,1297,30
5501,1265,30
5502,1384,37
5503,1282,30
5504,1305,28
5505,1330,20
5506,1262,38
5507,1312,37
5508,1307,42
5509,1329,42
5510,1239,37
5511,1397,36
5512,1226,40
5513,1395,37
5514,1207,34
5515,1251,44
5516,1264,35
5517,1257,20
5518,1318,40
5519,1345,38
5520,1300,22
5521,1379,35
5522,1365,31
5523,1264,37
5524,1330,22
5525,1399,36
5526,1235,49
5527,1335,47
5528,1254,48
5529,1369,35
5530,1217,48
5531,1351,37
5532,1288,38
5533,1368,43
5534,1232,48
5535,1318,28
5536,1395,29
5537,1242,35
5538,1351,26
5539,1357,22
5540,1375,37
5541,1304,20
5542,1287,23
5543,1297,30
5544,1377,27
5545,1347,37
5546,1242,38
5547,1391,49
5548,1388,36
5549,1285,20
5550,1224,45
5551,1247,26
5552,1277,43
5553,1369,30
5554,1274,41
5555,1367,46
5556,1278,38
5557,1392,24
5558,1337,26
5559,1258,44
5560,1239,38
5561,1204,44
5562,1395,25
5563,1281,48
5564,1375,39
5565,1270,22
5566,1329,29
5567,1330,47
5568,1201,45
5569,1300,42
5570,1201,49
5571,1255,21
5572,1296,37
5573,1398,35
5574,1274,22
5575,1307,48
5576,1357,42
5577,1353,38
5578,1285,39
5579,1288,36
5580,1343,40
5581,1383,47
5582,1395,44
5583,1317,24
5584,1337,29
5585,1315,26
5586,1216,43
5587,1266,24
5588,1224,23
5589,1347,30
5590,1240,29
5591,1361,40
5592,1289,29
5593,1348,31
5594,1228,48
5595,1251,21
5596,1308,34
5597,1277,35
5598,1292,45
5599,1374,24
5600,1279,48
5601,1342,30
5602,1359,23
5603,1269,30
5604,1327,48
5605,1329,45
5606,1335,42
5607,1220,36
5608,1234,30
5609,1255,31
5610,1238,21
5611,1228,45
5612,1263,46
5613,1305,38
5614,1284,29
5615,1263,23
5616,1396,33
5617,1217,49
5618,1269,49
5619,1232,43
5620,1231,36
5621,1321,37
5622,1343,32
5623,1333,28
5624,1214,23
5625,1248,41
5626,1337,45
5627,1253,47
5628,1289,44
5629,1219,27
5630,1356,41
5631,1246,43
5632,1384,24
5633,1258,32
5634,1313,44
5635,1220,21
5636,1341,34
5637,1228,27
5638,1374,48
5639,1211,44
5640,1302,43
5641,1202,48
5642,1360,39
5643,1360,39
5644,1366,44
5645,1379,24
5646,1282,24
5647,1398,33
5648,1262,48
5649,1369,41
5650,1315,31
5651,1265,44
5652,1265,49
5653,1398,22
5654,1238,43
5655,1302,49
5656,1383,48
5657,1382,22
5658,1319,43
5659,1345,24
5660,1288,37
5661,1216,32
5662,1307,26
5663,1230,47
5664,1355,31
5665,1354,21
5666,1317,46
5667,1277,44
5668,1266,29
5669,1328,46
5670,1240,25
5671,1350,28
5672,1328,40
5673,1341,22
5674,1370,29
5675,1275,20
5676,1350,26
5677,1259,42
5678,1378,28
5679,1211,44
5680,1304,45
